Kulung Words,Grammatical Meaning
kulutʃʰa,Kulung
t̪ʰoŋake,come.up-PT-ASS
t̪ambu,Tambu
lo,and
pʰǝpatʃikǝ,grandfather-ns-TOP
kulutʃʰa,Kulung
limbu,Limbu
lo,and
kʰǝmbu,Khambu
lo,and
mukt̪ʰo,Muktho
md̪u:pu,its-downside-LOC
kulutʃʰa,Kulung
tʃʰu:ake,become-PT-ASS
kʰamsid̪o,Khamsido
pʰǝpatʃikǝ,grandfather-ns-TOP
kulutʃʰa,Kulung
tʃʰemsi,Chemsi
lo,and
t̪amsi,Tamsi
lo,and
soŋgertʃʰane,star-DIM-CTR
kulutʃʰa,Kulung
ninamma,Ninam
ʋoŋake,enter-PT-ASS
pʰǝpatʃikǝ,grandfather-ns-TOP
kulutʃʰa,Kulung
tʃʰou,bird
set̪t̪o,kill-PRG
t̪ʰoŋake,come.up-PT-ASS
samkʰe,potato
joksi,arum
kulutʃʰa,Kulung
kʰo:loʔaŋ,all-ERG-EMP
sǝtʃikǝ,weed-3ns-SUB
rid̪um,rite
hod̪um,rhyme.jingle
kulutʃʰa,Kulung
ipʰǝptʃaŋ,our.pi-grandfather-ns-ERG-EMP
mǝtʃikǝ,do-3ns-SUB
iloŋ,our.pi-foot
t̪uke,hurt-n1s
kulutʃʰa,Kulung
kʰo:loʔa,all-ERG
sǝt̪amke,stretch-1p-3.NPT-ASS
rid̪um,rite
hod̪um,rhyme.jingle
kulutʃʰa,Kulung
purkʰatʃi,forefather-n
t̪ǝt̪amke,ask-1p-3.NPT-ASS
makai,maize
let̪am,plant-1p-3.NPT
kulutʃʰa,Kulung
kʰo:loʔaŋ,all-ERG-EMP
sǝtʃike,weed-3ns-ASS
rid̪um,rite
hod̪um,rhyme.jingle
kulutʃʰa,Kulung
purkʰatʃa,forefather-ns-ERG
mǝtʃike,do-3ns-ASS
samkʰe,potato
joksi,arum
kulutʃʰa,Kulung
maŋŋimo,NEG.PT-cook-PRG
d̪u:noke,cook-NEG.NPT-ASS
rid̪um,rite
hod̪um,rhyme.jingle
kulutʃʰa,Kulung
mammǝmo,NEG.PT-do-PRG
tʃʰu:noke,be-NEG.NPT-ASS
tʃʰuiamnod̪o,tie.up-1p→3.NPT-NEG.NPT-CND
kulutʃʰa,Kulung
